index	char	source	confidence	uses	alts
570	全	additional_context_confirmed	high	17	継
571	順	okurigana	medium	228	若蒋菽萪慕
572	作	ruby	high	34	
573	影	ruby	high	46	
574	清	additional_context_confirmed	high	44	響
575	却	ruby	high	3	
576	議	ruby	medium	18	
577	閣	ruby	medium	32	隠
578	幼	ruby	medium	2	
579	影	additional_context_confirmed	high	1	
580	響	additional_context_confirmed	high	9	
581	紳	ruby	medium	1	
582	仲	context	medium	15	仲拌件胖鰺
583	覚	ruby	medium	99	蔵
584	暗	ruby	high	21	
585	破	ruby	medium	10	
586	鍵	ruby	high	48	
587	開	context	medium	43	関閤崗開閏
588	労	context	medium	11	労奢旁努髣
589	沿	okurigana	medium	9	明擬困淋孅
590	移	context	medium	126	修條拶捗餘
591	篠	ruby	high	5	
592	扉	ruby	high	26	
593	慣	okurigana	medium	6	慣償懴慎惜
594	否	ruby	medium	37	
595	席	context	medium	32	席巌寤廣慮
596	移	additional_context_confirmed	high	5	潔瘰縻徹僂
597	六	context	medium	4	∧几六八Λ
598	葵	ruby	high	163	
599	趣	ruby	high	6	
600	期	ruby	medium	51	
601	上	additional_context_confirmed	high	37	
602	潔	additional_context_confirmed	high	23	兮号牲杪秒
603	八	additional_context_confirmed	high	23	
604	箍	ruby	medium	16	互
605	識	ruby	high	28	
606	功	context	medium	8	功袍匏衲物
607	績	context	medium	4	縱蹤饒鏃績
608	腐	ruby	medium	1	
609	界	ruby	high	27	
610	互	additional_context_confirmed	high	4	
611	柚	ruby	high	5	
612	功	additional_context_confirmed	high	10	計針紆鮓鮗
613	績	additional_context_confirmed	high	8	
614	措	ruby	high	7	
615	放	ruby	high	65	
616	馨	ruby	high	12	
617	譲	additional_context_confirmed	high	13	複拑撥褂梭
618	雑	context	medium	9	雑瞳幢鐵雎
619	丸	bitmap	low	2	丸扎夂夊九
620	示	context	medium	38	示繼萠癬册
621	汗	ruby	high	3	
622	嘩	ruby	medium	1	
623	委	ruby	medium	1	
624	頑	ruby	high	6	
625	丸	additional_context_confirmed	high	10	肩
626	示	additional_context_confirmed	high	47	
627	初	ruby	medium	46	粗
628	渋	ruby	high	2	
629	旨	ruby	high	6	
630	桜	context	medium	19	桜梭餒珱侫
631	蔭	context	medium	19	織疳癈難攤
632	再	additional_context_confirmed	high	7	抻拌棒捧褝
633	茜	ruby	medium	122	
634	捜	ruby	medium	51	性操
635	徒	context	medium	8	徒旋従挑綻
636	師	ruby	high	76	
637	匠	ruby	high	32	
638	兄	okurigana	medium	54	兄見鉦結鈕
639	服	ruby	medium	16	
640	果	ruby	medium	44	
641	唐	ruby	medium	2	
642	師	additional_context_confirmed	high	37	
643	共	context	medium	7	共其糞黄真
644	母	additional_context_confirmed	high	2	羨菌痰箘豢
645	邪	ruby	high	8	
646	魔	ruby	high	14	
647	畭	ruby	medium	97	酔
648	綺	ruby	high	12	
649	麗	ruby	high	14	
650	隅	ruby	high	6	
651	索	ruby	medium	2	
652	悩	reading	medium	7	悩脳蝓鍼脇
653	酔	additional_context_confirmed	high	39	撹撥崗掖擦
654	勉	context	medium	14	勉舫轆醢鯱
655	迎	ruby	high	7	
656	勾	ruby	high	35	
657	留	ruby	high	91	
658	悲	ruby	medium	28	
659	壮	ruby	medium	1	
660	依	ruby	high	15	
661	狭	okurigana	medium	24	昔嘗貧許賣
662	鋭	reading	medium	8	餃蹤脱蹴艇
663	留	additional_context_confirmed	high	5	堅
664	歓	ruby	high	3	
665	遊	okurigana	medium	7	遊避盈逝澱
666	路	context	medium	19	宵肓育寫貲
667	観	context	medium	3	癜繼餠儼繖
668	車	ruby	medium	23	
669	記	ruby	high	92	
670	効	context	medium	10	効劾鵁勍勃
671	率	context	medium	11	寧事拳亭搴
672	埜	ruby	high	50	
673	轉	okurigana	medium	36	爺漑軈織廐
674	亜	ruby	high	4	
675	蹶	bitmap	low	40	蹶獻蠍繼鯨
676	効	additional_context_confirmed	high	84	
677	率	additional_context_confirmed	high	38	
678	銃	ruby	high	155	
679	駆	bitmap	low	15	駆簓躯彫緲
680	導	ruby	medium	13	
681	源	additional_context_confirmed	high	13	仮髭骰鬣餃
682	説	ruby	high	41	
683	加	context	medium	16	舳珈踟加跏
684	譲	context	medium	5	巍朧鵬麹綯
685	駆	additional_context_confirmed	high	53	防削関閉閤
686	策	context	medium	14	簸儼瞳鏃鑼
687	施	ruby	medium	6	
688	工	ruby	medium	15	
689	屑	ruby	medium	19	崩
690	刑	ruby	high	166	
691	密	ruby	high	14	
692	項	ruby	high	3	
693	純	ruby	medium	9	
694	眩	reading	medium	2	眩昧眈■皎
695	適	context	medium	11	避適遍迪途
696	刑	additional_context_confirmed	high	60	
697	瞬	ruby	high	10	
698	肩	ruby	high	11	
699	運	context	medium	25	廛崖遯邂厘
700	送	context	medium	22	送迭透迅迷
701	捨	bitmap	low	7	捨橇掛掖陵
702	深	ruby	medium	23	
703	樹	context	medium	9	戀楸緲閤熊
704	瓶	ruby	medium	1	
705	焼	ruby	medium	1	
706	酎	ruby	medium	1	
707	捨	additional_context_confirmed	high	7	
708	帯	ruby	medium	9	雄
709	醋	ruby	medium	1	
710	映	context	medium	68	吹哨帙畸畋
711	鮭	ruby	high	8	
712	悔	ruby	medium	12	惧
713	李	context	medium	4	凖儁孛準窄
714	済	context	medium	15	済嗇崙瘡濟
715	毎	bitmap	low	6	瞳毎髷継厳
716	風	context	medium	4	逮速逹遷崖
717	嗚	ruby	high	2	
718	悔	additional_context_confirmed	high	4	瘟温盧榲嵐
719	際	context	medium	4	孥摩岸厚擘
720	夜	ruby	medium	13	
721	毎	additional_context_confirmed	high	14	
722	達	additional_context_confirmed	high	1	
723	徠	okurigana	medium	17	眛妹昧味眸
724	儲	bitmap	low	1	儲鏃鑪謎健
725	国	ruby	medium	17	
726	試	context	medium	15	試誠拭誡訊
727	験	context	medium	23	隙険瞼陝陂
728	倍	context	medium	4	倍佶俗估悋
729	懸	ruby	high	8	
730	儲	additional_context_confirmed	high	24	
731	努	context	medium	2	努劈髣暼臀
732	釈	ruby	high	52	
733	験	additional_context_confirmed	high	5	骼熟鶻商雋
734	模	ruby	medium	11	穂
735	卒	context	medium	6	卒挙筝亊事
